Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
17:06:25 Jan 08 2024,99,82,0,0,0
17:06:29 Jan 08 2024,99,81,0,0,0
17:06:33 Jan 08 2024,99,82,0,0,0
17:06:37 Jan 08 2024,99,85,0,0,0
17:06:41 Jan 08 2024,99,86,0,0,0
17:06:45 Jan 08 2024,99,85,1,0,0
17:06:49 Jan 08 2024,99,83,0,0,0
17:06:53 Jan 08 2024,99,82,0,0,0
17:06:57 Jan 08 2024,99,82,1,0,0
17:07:01 Jan 08 2024,99,84,0,0,0
17:07:05 Jan 08 2024,99,83,0,0,0
17:07:09 Jan 08 2024,99,83,0,0,0
17:07:13 Jan 08 2024,99,84,0,0,0
17:07:17 Jan 08 2024,99,85,0,0,0
17:07:21 Jan 08 2024,99,84,0,0,0
17:07:25 Jan 08 2024,99,84,0,0,0
17:07:29 Jan 08 2024,99,85,0,0,0
17:07:33 Jan 08 2024,99,83,0,0,0
17:07:37 Jan 08 2024,99,84,0,0,0
17:07:41 Jan 08 2024,99,85,0,0,0
17:07:45 Jan 08 2024,99,85,0,0,0
17:07:49 Jan 08 2024,99,85,0,0,0
17:07:53 Jan 08 2024,99,84,0,0,0
17:07:57 Jan 08 2024,99,81,0,0,0
17:08:01 Jan 08 2024,99,80,1,0,0
17:08:05 Jan 08 2024,99,81,0,0,0
17:08:09 Jan 08 2024,99,81,0,0,0
17:08:13 Jan 08 2024,99,81,0,0,0
17:08:17 Jan 08 2024,99,82,0,0,0
17:08:21 Jan 08 2024,99,81,0,0,0
17:08:25 Jan 08 2024,99,80,0,0,0
17:08:29 Jan 08 2024,99,80,0,0,0
17:08:33 Jan 08 2024,99,80,0,0,0
17:08:37 Jan 08 2024,99,81,0,0,0
17:08:41 Jan 08 2024,99,84,0,0,0
17:08:45 Jan 08 2024,99,85,2,0,0
17:08:49 Jan 08 2024,99,88,0,0,0
17:08:53 Jan 08 2024,99,95,0,0,0
17:08:57 Jan 08 2024,99,94,0,0,0
17:09:01 Jan 08 2024,99,94,1,0,0
17:09:05 Jan 08 2024,99,94,0,0,0
17:09:09 Jan 08 2024,99,93,0,0,0
17:09:13 Jan 08 2024,99,95,0,0,0
17:09:17 Jan 08 2024,99,93,0,0,0
17:09:21 Jan 08 2024,99,88,0,0,0
17:09:25 Jan 08 2024,99,86,0,0,0
17:09:29 Jan 08 2024,99,86,0,0,0
17:09:33 Jan 08 2024,99,90,0,0,0
17:09:37 Jan 08 2024,99,89,1,0,0
17:09:41 Jan 08 2024,99,88,0,0,0
17:09:45 Jan 08 2024,99,87,0,0,0
17:09:49 Jan 08 2024,99,85,0,0,0
17:09:53 Jan 08 2024,99,82,0,0,0
17:09:57 Jan 08 2024,99,82,0,0,0
17:10:01 Jan 08 2024,99,84,0,0,0
17:10:05 Jan 08 2024,99,86,0,0,0
17:10:09 Jan 08 2024,99,87,0,0,0
17:10:13 Jan 08 2024,99,88,12,0,0
17:10:17 Jan 08 2024,99,88,0,0,0
17:10:21 Jan 08 2024,99,88,7,0,0
17:10:25 Jan 08 2024,99,88,0,0,0
17:10:29 Jan 08 2024,99,88,0,0,0
17:10:33 Jan 08 2024,99,86,0,0,0
17:10:37 Jan 08 2024,99,86,0,0,0
17:10:41 Jan 08 2024,99,86,2,0,0
17:10:45 Jan 08 2024,99,86,2,0,0
17:10:49 Jan 08 2024,99,86,6,0,0
17:10:53 Jan 08 2024,99,86,1,0,0
17:10:57 Jan 08 2024,99,86,10,0,0
17:11:01 Jan 08 2024,99,86,1,0,0
17:11:05 Jan 08 2024,99,86,0,0,0
17:11:09 Jan 08 2024,99,86,1,0,0
17:11:13 Jan 08 2024,99,86,1,0,0
17:11:17 Jan 08 2024,99,86,5,0,0
17:11:21 Jan 08 2024,99,86,0,0,0
17:11:25 Jan 08 2024,99,86,1,0,0
17:11:29 Jan 08 2024,99,87,1,0,0
17:11:33 Jan 08 2024,99,84,0,0,0
17:11:37 Jan 08 2024,99,86,0,0,0
17:11:41 Jan 08 2024,99,90,0,0,0
17:11:45 Jan 08 2024,99,87,0,0,0
17:11:49 Jan 08 2024,99,83,0,0,0
17:11:53 Jan 08 2024,99,82,0,0,0
17:11:57 Jan 08 2024,99,80,0,0,0
17:12:01 Jan 08 2024,99,80,0,0,0
17:12:05 Jan 08 2024,99,81,0,0,0
17:12:09 Jan 08 2024,99,84,0,0,0
17:12:13 Jan 08 2024,99,84,0,0,0
17:12:17 Jan 08 2024,99,84,0,0,0
17:12:21 Jan 08 2024,99,86,0,0,0
17:12:25 Jan 08 2024,99,85,0,0,0
17:12:29 Jan 08 2024,99,85,0,0,0
17:12:33 Jan 08 2024,99,84,0,0,0
17:12:37 Jan 08 2024,99,84,0,0,0
17:12:41 Jan 08 2024,99,84,0,0,0
17:12:45 Jan 08 2024,99,84,0,0,0
17:12:49 Jan 08 2024,99,84,0,0,0
17:12:53 Jan 08 2024,99,83,0,0,0
17:12:57 Jan 08 2024,99,82,0,0,0
17:13:01 Jan 08 2024,99,79,0,0,0
17:13:05 Jan 08 2024,99,78,0,0,0
17:13:09 Jan 08 2024,99,79,0,0,0
17:13:13 Jan 08 2024,99,81,0,0,0
17:13:17 Jan 08 2024,99,81,0,0,0
17:13:21 Jan 08 2024,99,84,0,0,0
17:13:25 Jan 08 2024,99,84,0,0,0
17:13:29 Jan 08 2024,99,83,0,0,0
17:13:33 Jan 08 2024,99,82,0,0,0
17:13:37 Jan 08 2024,99,81,0,0,0
17:13:41 Jan 08 2024,99,80,0,0,0
17:13:45 Jan 08 2024,99,81,0,0,0
17:13:49 Jan 08 2024,99,84,0,0,0
17:13:53 Jan 08 2024,99,84,0,0,0
17:13:57 Jan 08 2024,99,84,0,0,0
17:14:01 Jan 08 2024,99,89,0,0,0
17:14:05 Jan 08 2024,99,91,0,0,0
17:14:09 Jan 08 2024,99,93,0,0,0
17:14:13 Jan 08 2024,99,93,0,0,0
17:14:17 Jan 08 2024,99,90,0,0,0
17:14:21 Jan 08 2024,99,88,0,0,0
17:14:25 Jan 08 2024,99,90,0,0,0
17:14:29 Jan 08 2024,99,89,0,0,0
17:14:33 Jan 08 2024,99,89,0,0,0
17:14:37 Jan 08 2024,99,88,0,0,0
17:14:41 Jan 08 2024,99,89,0,0,0
17:14:45 Jan 08 2024,99,88,0,0,0
17:14:49 Jan 08 2024,99,87,0,0,0
17:14:53 Jan 08 2024,99,84,0,0,0
17:14:57 Jan 08 2024,99,84,0,0,0
17:15:01 Jan 08 2024,99,83,0,0,0
17:15:05 Jan 08 2024,99,81,0,0,0
17:15:09 Jan 08 2024,99,80,0,0,0
17:15:13 Jan 08 2024,99,81,0,0,0
17:15:17 Jan 08 2024,99,85,0,0,0
17:15:21 Jan 08 2024,99,86,0,0,0
17:15:25 Jan 08 2024,99,89,0,0,0
17:15:29 Jan 08 2024,99,90,0,0,0
17:15:33 Jan 08 2024,99,90,3,0,0
17:15:37 Jan 08 2024,99,90,1,0,0
17:15:41 Jan 08 2024,99,90,14,0,0
17:15:45 Jan 08 2024,255,65535,23,0,0
17:15:49 Jan 08 2024,255,65535,26,0,0
