Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
16:38:21 Jan 08 2024,99,84,0,0,0
16:38:25 Jan 08 2024,99,85,0,0,0
16:38:29 Jan 08 2024,99,85,0,0,0
16:38:33 Jan 08 2024,99,85,0,0,0
16:38:37 Jan 08 2024,99,85,0,0,0
16:38:41 Jan 08 2024,99,86,0,0,0
16:38:45 Jan 08 2024,99,87,0,0,0
16:38:49 Jan 08 2024,99,87,0,0,0
16:38:53 Jan 08 2024,99,87,0,0,0
16:38:57 Jan 08 2024,99,88,0,0,0
16:39:01 Jan 08 2024,99,87,0,0,0
16:39:05 Jan 08 2024,99,86,0,0,0
16:39:09 Jan 08 2024,99,88,0,0,0
16:39:13 Jan 08 2024,99,89,0,0,0
16:39:17 Jan 08 2024,99,88,0,0,0
16:39:21 Jan 08 2024,99,86,0,0,0
16:39:25 Jan 08 2024,99,85,0,0,0
16:39:29 Jan 08 2024,99,84,0,0,0
16:39:33 Jan 08 2024,99,84,0,0,0
16:39:37 Jan 08 2024,99,83,0,0,0
16:39:41 Jan 08 2024,99,82,0,0,0
16:39:45 Jan 08 2024,99,84,0,0,0
16:39:49 Jan 08 2024,99,84,0,0,0
16:39:53 Jan 08 2024,99,85,0,0,0
16:39:57 Jan 08 2024,99,85,0,0,0
16:40:01 Jan 08 2024,99,88,0,0,0
16:40:05 Jan 08 2024,98,87,0,0,0
16:40:09 Jan 08 2024,98,88,0,0,0
16:40:13 Jan 08 2024,99,85,0,0,0
16:40:17 Jan 08 2024,99,83,0,0,0
16:40:21 Jan 08 2024,99,85,0,0,0
16:40:25 Jan 08 2024,99,88,0,0,0
16:40:29 Jan 08 2024,99,87,0,0,0
16:40:33 Jan 08 2024,99,86,0,0,0
16:40:37 Jan 08 2024,99,89,0,0,0
16:40:41 Jan 08 2024,99,90,0,0,0
16:40:45 Jan 08 2024,99,88,0,0,0
16:40:49 Jan 08 2024,99,87,0,0,0
16:40:53 Jan 08 2024,99,86,0,0,0
16:40:57 Jan 08 2024,99,85,0,0,0
16:41:01 Jan 08 2024,99,85,0,0,0
16:41:05 Jan 08 2024,99,86,0,0,0
16:41:09 Jan 08 2024,99,90,0,0,0
16:41:13 Jan 08 2024,99,91,0,0,0
16:41:17 Jan 08 2024,99,89,0,0,0
16:41:21 Jan 08 2024,99,89,0,0,0
16:41:25 Jan 08 2024,99,87,0,0,0
16:41:29 Jan 08 2024,99,86,0,0,0
16:41:33 Jan 08 2024,99,84,0,0,0
16:41:37 Jan 08 2024,99,85,0,0,0
16:41:41 Jan 08 2024,99,84,0,0,0
16:41:45 Jan 08 2024,99,84,0,0,0
16:41:49 Jan 08 2024,99,85,0,0,0
16:41:53 Jan 08 2024,99,86,0,0,0
16:41:57 Jan 08 2024,99,86,0,0,0
16:42:01 Jan 08 2024,99,85,0,0,0
16:42:05 Jan 08 2024,99,82,0,0,0
16:42:09 Jan 08 2024,99,81,0,0,0
16:42:13 Jan 08 2024,99,83,0,0,0
16:42:17 Jan 08 2024,99,83,0,0,0
16:42:21 Jan 08 2024,99,84,1,0,0
16:42:25 Jan 08 2024,99,85,0,0,0
16:42:29 Jan 08 2024,99,85,1,0,0
16:42:33 Jan 08 2024,99,86,0,0,0
16:42:37 Jan 08 2024,99,87,0,0,0
16:42:41 Jan 08 2024,99,87,1,0,0
