,ref_s,ref_e,in_s,in_e,in_t,ref_t
149,10908,10972,10906,10969,2E,2L
150,10972,11035,10969,11033,2L,2L
151,11035,11098,11033,11096,3,2L
152,11098,11165,11096,11162,2E,2L
153,11165,11232,11162,11229,3,1L
154,11232,11300,11229,11297,2E,2L
155,11300,11365,11297,11363,2E,2L
156,11365,11432,11363,11429,3,3
157,11432,11498,11429,11496,2E,2L
158,11498,11563,11496,11561,2E,2L
159,11563,11625,11561,11623,3,2L
160,11625,11688,11623,11686,3,3
161,11688,11752,11686,11750,2E,2L
162,11752,11817,11750,11815,3,2L
163,11817,11880,11815,11878,2E,2L
164,11880,11943,11878,11940,3,3
165,11943,12007,11940,12004,2E,2L
166,12007,12072,12004,12070,3,2L
167,12072,12141,12070,12138,3,1L
168,12141,12209,12138,12207,3,2L
169,12209,12277,12207,12274,3,2L
170,12277,12347,12274,12344,2E,2L
171,12347,12419,12344,12415,3,2L
172,12419,12490,12415,12487,2E,3
173,12490,12558,12487,12555,3,2L
174,12558,12626,12555,12623,2E,3
175,12626,12694,12623,12691,2E,2L
176,12694,12762,12691,12759,2E,3
177,12762,12828,12759,12825,2L,2L
178,12828,12894,12825,12892,3,2L
179,12894,12962,12892,12959,2E,2L
180,12962,13031,12959,13029,3,2L
181,13031,13097,13029,13094,3,3
182,13097,13162,13094,13159,3,2L
183,13162,13230,13159,13227,2E,2L
184,13230,13298,13227,13295,3,2L
185,13298,13364,13295,13361,2L,2L
186,13364,13430,13361,13427,3,2L
187,13430,13497,13427,13493,2E,2L
188,13497,13563,13493,13560,2E,2L
189,13563,13630,13560,13627,2E,2L
190,13630,13697,13627,13694,2L,2L
191,13697,13765,13694,13762,2E,2L
192,13765,13833,13762,13831,3,2L
193,13833,13903,13831,13900,2E,2L
194,13903,13969,13900,13966,2L,2L
195,13969,14037,13966,14034,3,2L
196,14037,14106,14034,14103,3,2L
197,14106,14175,14103,14171,3,2L
198,14175,14240,14171,14237,3,3
199,14240,14307,14237,14304,2E,2L
200,14307,14375,14304,14373,3,2L
201,14375,14444,14373,14441,2E,3
202,14444,14511,14441,14508,2E,2L
203,14511,14579,14508,14576,2E,3
204,14579,14647,14576,14644,2E,2L
205,14647,14716,14644,14713,3,2L
206,14716,14783,14713,14781,3,2L
207,14783,14852,14781,14849,3,2L
208,14852,14920,14849,14917,3,3
209,14920,14989,14917,14986,2E,2L
210,14989,15058,14986,15056,3,2L
211,15058,15125,15056,15122,3,3
212,15125,15191,15122,15188,2E,3
213,15191,15259,15188,15257,3,3
214,15259,15331,15257,15328,3,2L
215,15331,15403,15328,15401,2E,2L
216,15403,15473,15401,15471,3,2L
217,15473,15545,15471,15542,2E,2L
218,15545,15616,15542,15613,2E,3
219,15616,15688,15613,15685,2E,3
220,15688,15755,15685,15752,2L,3
221,15755,15823,15752,15820,2E,2L
222,15823,15894,15820,15891,2E,2L
223,15894,15967,15891,15964,3,2L
224,15967,16040,15964,16038,2E,2L
225,16040,16114,16038,16111,3,3
226,16114,16189,16111,16186,2E,2L
227,16189,16265,16186,16263,2E,2L
228,16265,16341,16263,16338,3,2L
229,16341,16412,16338,16409,3,3
230,16412,16482,16409,16479,2E,2L
231,16482,16553,16479,16551,2E,2L
232,16553,16623,16551,16621,3,2L
233,16623,16691,16621,16689,3,3
234,16691,16761,16689,16759,2E,2L
235,16761,16831,16759,16829,3,2L
236,16831,16904,16829,16901,1,2L
237,16904,16973,16901,16971,2E,2L
238,16973,17039,16971,17037,3,2L
239,17039,17105,17037,17102,3,3
240,17105,17174,17102,17171,1,3
241,17174,17250,17171,17247,1,1L
242,17250,17330,17247,17328,1,1L
243,17330,17412,17328,17409,1,1L
244,17412,17491,17409,17489,3,2L
245,17491,17567,17489,17565,2E,2L
246,17567,17643,17565,17640,2E,3
247,17643,17715,17640,17712,3,3
248,17715,17784,17712,17782,3,3
249,17784,17854,17782,17851,2E,3
250,17854,17924,17851,17921,2E,2L
251,17924,17994,17921,17991,3,2L
252,17994,18066,17991,18063,2E,2L
253,18066,18139,18063,18136,1,2L
254,18139,18214,18136,18211,1,2L
255,18214,18286,18211,18284,2E,2L
256,18286,18357,18284,18355,3,2L
257,18357,18429,18355,18426,3,2L
258,18429,18499,18426,18497,2E,3
259,18499,18568,18497,18565,3,2L
260,18568,18637,18565,18634,2E,2L
261,18637,18705,18634,18703,3,2L
262,18705,18774,18703,18771,2E,2L
263,18774,18842,18771,18840,3,3
264,18842,18910,18840,18908,3,2L
265,18910,18979,18908,18978,3,1L
266,18979,19048,18978,19045,2E,2L
267,19048,19113,19045,19111,3,2L
268,19113,19180,19111,19177,3,2L
269,19180,19246,19177,19244,2E,2L
270,19246,19313,19244,19311,3,2L
271,19313,19377,19311,19375,2E,2L
272,19377,19443,19375,19440,3,2L
273,19443,19508,19440,19506,3,2L
274,19508,19575,19506,19573,3,2L
275,19575,19641,19573,19638,2E,2L
