,ref_s,ref_e,in_s,in_e,in_t,ref_t
0,97,167,95,165,2E,2L
1,167,238,165,236,1,3
2,238,310,236,309,1,1L
3,310,381,309,380,1,1L
4,381,452,380,451,2E,2L
5,452,522,451,521,2E,3
6,522,595,521,593,3,2L
7,595,668,593,666,1,2L
8,668,738,666,737,1,2L
9,738,806,737,804,2E,2L
10,806,874,804,872,3,2L
11,874,940,872,939,1,2L
12,940,1006,939,1005,3,2L
13,1006,1074,1005,1072,3,2L
14,1074,1143,1072,1141,1,2L
15,1143,1216,1141,1214,1,1L
16,1216,1288,1214,1287,1,2L
17,1288,1361,1287,1359,1,2L
18,1361,1438,1359,1436,1,2L
19,1438,1514,1436,1513,1,1L
20,1514,1586,1513,1585,3,2L
21,1586,1657,1585,1655,3,2L
22,1657,1728,1655,1726,2E,2L
23,1728,1799,1726,1797,1,2L
24,1799,1867,1797,1865,1,2L
25,1867,1936,1865,1933,3,2L
26,1936,2007,1933,2004,3,2L
27,2007,2079,2004,2077,3,2L
28,2079,2148,2077,2147,1,2L
29,2148,2219,2147,2216,1,2L
30,2219,2290,2216,2288,2E,2L
31,2290,2363,2288,2361,1,1L
32,2363,2433,2361,2431,2E,1L
33,2433,2505,2431,2502,2E,2L
34,2505,2578,2502,2577,1,1L
35,2578,2653,2577,2650,1,2L
36,2653,2724,2650,2722,2E,2L
37,2724,2796,2722,2794,3,2L
38,2796,2868,2794,2866,1,2L
39,2868,2938,2866,2936,3,1L
40,2938,3008,2936,3006,3,2L
41,3008,3077,3006,3075,2E,2L
42,3077,3148,3075,3146,1,1L
43,3148,3222,3146,3220,1,1L
44,3222,3294,3220,3292,3,2L
45,3294,3366,3292,3365,3,2L
46,3366,3439,3365,3437,1,2L
47,3439,3513,3437,3510,2E,1L
48,3513,3582,3510,3580,2E,2L
49,3582,3652,3580,3650,3,3
50,3652,3723,3650,3722,2E,2L
51,3723,3794,3722,3793,3,2L
52,3794,3863,3793,3861,2E,2L
53,3863,3933,3861,3931,2E,2L
54,3933,4005,3931,4003,1,3
55,4005,4078,4003,4076,3,2L
56,4078,4149,4076,4147,2E,2L
57,4149,4224,4147,4221,3,2L
58,4224,4301,4221,4299,3,3
59,4301,4375,4299,4373,2E,2L
60,4375,4450,4373,4448,3,2L
61,4450,4527,4448,4524,2E,3
62,4527,4605,4524,4603,3,2L
63,4605,4681,4603,4679,2E,2L
64,4681,4759,4679,4756,2E,3
65,4759,4837,4756,4835,2E,2L
66,4837,4912,4835,4909,2E,2L
67,4912,4990,4909,4988,3,3
68,4990,5071,4988,5069,1,2L
69,5071,5151,5069,5149,1,2L
70,5151,5229,5149,5226,2E,2L
71,5229,5305,5226,5302,1,2L
72,5305,5378,5302,5376,2E,1L
73,5378,5447,5376,5445,3,2L
74,5447,5518,5445,5516,1,3
75,5518,5591,5516,5590,1,2L
76,5591,5666,5590,5664,1,1L
77,5666,5741,5664,5740,1,2L
78,5741,5821,5740,5820,1,2L
79,5821,5904,5820,5902,1,2L
80,5904,5982,5902,5979,1,1L
81,5982,6057,5979,6055,2E,3
82,6057,6131,6055,6130,1,1L
83,6131,6204,6130,6202,1,2L
84,6204,6273,6202,6271,3,2L
85,6273,6343,6271,6341,1,2L
86,6343,6415,6341,6413,1,1L
87,6415,6484,6413,6482,3,2L
88,6484,6554,6482,6552,3,2L
89,6554,6626,6552,6624,1,2L
90,6626,6701,6624,6699,1,2L
91,6701,6774,6699,6771,1,1L
92,6774,6845,6771,6843,3,2L
93,6845,6918,6843,6915,2E,3
94,6918,6992,6915,6990,3,2L
95,6992,7065,6990,7062,3,2L
96,7065,7136,7062,7135,2E,2L
97,7136,7211,7135,7209,3,2L
98,7211,7287,7209,7285,2E,2L
99,7287,7359,7285,7357,3,3
100,7359,7435,7357,7433,2E,3
101,7435,7511,7433,7509,3,2L
102,7511,7586,7509,7583,2E,2L
103,7586,7659,7583,7655,3,3
104,7659,7730,7655,7728,2E,2L
105,7730,7804,7728,7801,3,2L
106,7804,7875,7801,7873,2E,2L
107,7875,7945,7873,7943,2E,2L
108,7945,8017,7943,8015,2E,3
109,8017,8092,8015,8090,1,2L
110,8092,8167,8090,8165,2E,3
111,8167,8241,8165,8239,2E,3
112,8241,8317,8239,8314,3,2L
113,8317,8394,8314,8391,2E,3
114,8394,8468,8391,8466,2E,3
115,8468,8545,8466,8542,3,3
116,8545,8621,8542,8619,3,2L
117,8621,8698,8619,8696,2E,2L
118,8698,8773,8696,8771,3,2L
119,8773,8849,8771,8848,3,3
120,8849,8925,8848,8922,3,2L
121,8925,8995,8922,8992,2L,2L
122,8995,9067,8992,9064,3,2L
123,9067,9137,9064,9135,3,1L
124,9137,9206,9135,9204,2E,2L
125,9206,9279,9204,9276,2E,3
126,9279,9328,9276,9352,1,1L
127,9328,9433,9352,9431,1,1
128,9433,9507,9431,9505,3,3
129,9507,9583,9505,9580,1,3
130,9583,9658,9580,9656,1,3
131,9658,9732,9656,9730,2E,2L
132,9732,9804,9730,9801,2E,3
133,9804,9877,9801,9875,2E,3
134,9877,9950,9875,9948,3,3
135,9950,10021,9948,10018,2E,3
136,10021,10090,10018,10088,2E,2L
137,10090,10160,10088,10158,3,2L
138,10160,10231,10158,10229,3,2L
139,10231,10301,10229,10299,3,2L
140,10301,10372,10299,10370,2E,2L
141,10372,10445,10370,10443,1,2L
142,10445,10517,10443,10514,2E,2L
143,10517,10588,10514,10585,2E,2L
144,10588,10656,10585,10654,2E,2L
145,10656,10723,10654,10720,2E,2L
146,10723,10787,10720,10783,3,3
147,10787,10847,10783,10844,3,2L
148,10847,10908,10844,10906,2E,2L
