,ref_s,ref_e,in_s,in_e,in_t,ref_t
243,18945,19018,18944,19017,1,2L
244,19018,19093,19017,19092,1,1L
245,19093,19168,19092,19168,1,1L
246,19168,19241,19168,19241,1,2L
247,19241,19317,19241,19316,1,3
248,19317,19393,19316,19392,1,1L
249,19393,19469,19392,19469,1,2L
250,19469,19545,19469,19545,1,2L
251,19545,19624,19545,19623,1,2L
252,19624,19707,19623,19707,1,1L
253,19707,19787,19707,19787,1,2L
254,19787,19867,19787,19867,1,2L
255,19867,19947,19867,19947,1,2L
256,19947,20029,19947,20028,1,1L
257,20029,20107,20028,20107,1,2L
258,20107,20188,20107,20186,1,3
259,20188,20270,20186,20270,1,1L
260,20270,20352,20270,20352,1,1L
261,20352,20431,20352,20430,1,2L
262,20431,20513,20430,20512,1,2L
263,20513,20595,20512,20594,1,3
264,20595,20674,20594,20673,1,1L
265,20674,20753,20673,20752,1,2L
266,20753,20835,20752,20834,1,2L
267,20835,20915,20834,20914,1,2L
268,20915,20995,20914,20995,1,2L
269,20995,21076,20995,21076,1,2L
270,21076,21158,21076,21157,1,2L
271,21158,21234,21157,21233,1,2L
272,21234,21312,21233,21311,1,2L
273,21312,21393,21311,21392,1,1L
274,21393,21474,21392,21473,1,2L
275,21474,21551,21473,21551,3,2L
276,21551,21631,21551,21591,1,1L
277,21710,21783,21709,21783,2E,2L
278,21783,21859,21783,21858,1,2L
279,21859,21935,21858,21935,1,1L
280,21935,22011,21935,22010,1,3
281,22011,22086,22010,22084,3,2L
282,22086,22163,22084,22162,1,2L
283,22163,22243,22162,22242,1,3
284,22243,22322,22242,22322,1,3
285,22322,22400,22322,22399,1,2L
286,22400,22475,22399,22476,1,2L
287,22475,22548,22476,22548,1,1L
288,22548,22617,22548,22615,3,2L
289,22617,22686,22615,22686,1,3
290,22686,22757,22686,22756,1,1L
291,22757,22832,22756,22832,1,1L
292,22832,22909,22832,22908,1,2L
293,22909,22988,22908,22988,1,2L
294,22988,23072,22988,23029,1,1L
295,23072,23151,23071,23151,1,2L
296,23151,23229,23151,23227,2E,2L
297,23229,23308,23227,23307,1,2L
298,23308,23387,23307,23347,1,2L
299,23462,23540,23461,23539,1,3
300,23540,23615,23539,23615,1,2L
301,23615,23687,23615,23687,1,2L
302,23687,23759,23687,23758,1,2L
303,23759,23832,23758,23830,1,3
304,23832,23903,23830,23902,1,2L
305,23903,23973,23902,23974,3,2L
