,ref_s,ref_e,in_s,in_e,in_t,ref_t
0,73,151,73,151,3,1L
1,151,230,151,229,1,1L
2,230,307,229,305,1,1L
3,307,381,305,381,3,2L
4,381,456,381,455,3,1L
5,456,526,455,525,1,1L
6,526,593,525,592,1L,1L
7,593,660,592,660,3,1L
8,660,729,660,729,3,2L
9,729,799,729,798,2L,2L
10,799,870,798,869,3,2L
11,870,942,869,942,1,1L
12,942,1016,942,1016,1,1L
13,1016,1091,1016,1091,1,1L
14,1091,1165,1091,1165,3,2L
15,1165,1242,1165,1241,1,2L
16,1242,1318,1241,1317,3,1L
17,1318,1394,1317,1393,2E,2L
18,1394,1466,1393,1465,2E,2L
19,1466,1539,1465,1539,3,2L
20,1539,1610,1539,1610,1,1L
21,1610,1679,1610,1678,3,1L
22,1679,1747,1678,1746,3,2L
23,1747,1817,1746,1815,3,2L
24,1817,1886,1815,1885,2L,2L
25,1886,1959,1885,1957,1,2L
26,1959,2035,1957,2033,1,1L
27,2035,2114,2033,2112,2L,1L
28,2114,2195,2112,2154,1,1L
29,2195,2273,2194,2272,1,2L
30,2273,2353,2272,2312,3,2L
31,2353,2432,2352,2392,3,2L
32,2509,2586,2510,2586,2E,2L
33,2586,2664,2586,2664,2E,2L
34,2664,2742,2664,2741,1,2L
35,2742,2817,2741,2817,3,2L
36,2891,2970,2889,2929,1,3
37,2970,3051,2969,3009,1L,3
38,3051,3129,3050,3127,3,1L
39,3129,3209,3127,3208,1,2L
40,3209,3292,3208,3248,1L,3
41,3613,3691,3612,3689,1,1L
42,3691,3769,3689,3769,1,2L
43,3769,3849,3769,3849,1,1L
44,3849,3928,3849,3927,3,2L
45,4003,4079,4001,4078,1,1L
46,4079,4152,4078,4152,1,1L
47,4152,4220,4152,4220,1,1L
48,4220,4288,4220,4288,1,1L
49,4288,4357,4288,4356,1,2L
50,4357,4424,4356,4423,3,2L
51,4424,4497,4423,4496,1,2L
52,4497,4571,4496,4570,1,3
53,4571,4649,4570,4648,1,1L
54,4649,4727,4648,4725,1,1L
55,4727,4805,4725,4805,1,3
56,4805,4885,4805,4885,1,1L
57,4885,4964,4885,4963,1,1L
58,4964,5037,4963,5035,2E,3
59,5037,5113,5035,5113,1,2L
60,5113,5193,5113,5192,1,1L
61,5193,5273,5192,5272,1,1L
62,5273,5350,5272,5350,1,3
63,5350,5421,5350,5420,3,3
64,5421,5490,5420,5490,3,2L
65,5490,5562,5490,5562,3,2L
66,5562,5642,5562,5641,1,1L
67,5642,5725,5641,5725,1,1L
68,5725,5811,5725,5809,1,1L
69,5811,5893,5809,5849,3,3
70,5893,5972,5893,5971,3,2L
71,5972,6051,5971,6011,1L,2L
72,6207,6281,6205,6279,2E,3
73,6281,6355,6279,6354,3,2L
74,6355,6430,6354,6430,1,3
75,6430,6503,6430,6502,1,2L
76,6503,6579,6502,6578,1,3
77,6579,6654,6578,6654,1,2L
78,6654,6731,6654,6730,1,1L
79,6731,6805,6730,6805,1,1L
80,6805,6884,6805,6883,1,1L
81,6884,6962,6883,6962,1,3
82,6962,7043,6962,7043,1,2L
83,7043,7121,7043,7121,3,2L
84,7121,7201,7121,7199,2E,2L
85,7201,7279,7199,7239,1,1L
86,7359,7436,7358,7436,1,3
87,7436,7515,7436,7514,1,3
88,7515,7592,7514,7592,1,2L
89,7592,7669,7592,7668,1,2L
90,7669,7747,7668,7746,1,2L
91,7747,7827,7746,7827,1,1L
92,7827,7908,7827,7907,1,3
93,7908,7985,7907,7985,1,2L
94,7985,8067,7985,8067,1,1L
95,8067,8148,8067,8147,1,1L
96,8148,8230,8147,8229,1,2L
97,8230,8309,8229,8309,1,2L
98,8309,8391,8309,8390,1,3
99,8391,8470,8390,8469,1,1L
100,8470,8547,8469,8546,3,2L
101,8547,8624,8546,8624,1,2L
102,8624,8702,8624,8702,1,3
103,8702,8778,8702,8778,1,2L
104,8778,8855,8778,8855,1,2L
105,8855,8935,8855,8934,1,3
106,8935,9014,8934,9013,1,1L
107,9014,9091,9013,9091,3,2L
108,9091,9171,9091,9170,1,2L
109,9171,9252,9170,9251,1,3
110,9252,9331,9251,9330,1,2L
111,9331,9405,9330,9404,1,2L
112,9405,9480,9404,9480,1,2L
113,9480,9556,9480,9555,1,1L
114,9556,9631,9555,9631,1,2L
115,9631,9707,9631,9707,1,2L
116,9707,9784,9707,9783,1,2L
117,9784,9860,9783,9861,1,1L
118,9860,9937,9861,9937,1,1L
119,9937,10011,9937,10011,1,2L
120,10011,10087,10011,10087,1,1L
121,10087,10164,10087,10163,1,1L
122,10164,10239,10163,10239,1,1L
123,10239,10314,10239,10314,1,2L
124,10314,10390,10314,10390,1,2L
125,10390,10466,10390,10466,1,2L
126,10466,10537,10466,10536,3,2L
127,10537,10609,10536,10608,3,2L
128,10609,10682,10608,10681,1,2L
129,10682,10756,10681,10755,1,1L
130,10756,10830,10755,10829,1,2L
131,10830,10905,10829,10905,1,1L
132,10905,10984,10905,10983,3,3
133,10984,11061,10983,11061,1,3
134,11061,11138,11061,11137,1,2L
135,11138,11214,11137,11213,1,2L
136,11214,11290,11213,11291,1,2L
137,11290,11362,11291,11361,1,1L
138,11362,11435,11361,11435,1,2L
139,11435,11509,11435,11508,1,2L
140,11509,11583,11508,11582,1,1L
141,11583,11657,11582,11656,2E,2L
142,11657,11733,11656,11733,1,3
143,11733,11810,11733,11810,1,1L
144,11810,11882,11810,11881,1,2L
145,11882,11957,11881,11957,3,2L
146,11957,12032,11957,12032,1,2L
147,12032,12106,12032,12106,3,1L
148,12106,12179,12106,12179,3,2L
149,12179,12254,12179,12254,1,2L
150,12254,12329,12254,12329,1,1L
151,12329,12404,12329,12403,1,2L
152,12404,12479,12403,12479,1,2L
153,12479,12556,12479,12556,1,1L
154,12556,12631,12556,12630,1,1L
155,12631,12702,12630,12701,3,2L
156,12702,12776,12701,12776,1,2L
157,12776,12852,12776,12852,1,1L
158,12852,12927,12852,12927,1,1L
159,12927,13001,12927,13001,3,2L
160,13001,13076,13001,13075,1,2L
161,13076,13148,13075,13148,1,2L
162,13148,13217,13148,13217,2E,2L
163,13217,13287,13217,13287,1,2L
164,13287,13358,13287,13358,1,1L
165,13358,13428,13358,13428,1,1L
166,13428,13498,13428,13497,3,2L
167,13498,13568,13497,13568,1,2L
168,13568,13640,13568,13640,1,1L
169,13640,13708,13640,13708,3,2L
170,13708,13778,13708,13778,3,2L
171,13778,13845,13778,13845,1,2L
172,13845,13909,13845,13909,3,2L
173,13909,13970,13909,13970,3,2L
174,13970,14032,13970,14031,2E,2L
175,14032,14095,14031,14094,3,2L
176,14095,14160,14094,14160,1,1L
177,14160,14225,14160,14224,3,2L
178,14225,14288,14224,14287,1,2L
179,14288,14354,14287,14354,2E,2L
180,14354,14421,14354,14421,1,2L
181,14421,14489,14421,14489,3,2L
182,14489,14555,14489,14555,3,2L
183,14555,14623,14555,14622,2E,3
184,14623,14691,14622,14691,1,1L
185,14691,14760,14691,14761,1,3
186,14760,14828,14761,14827,3,2L
187,14828,14896,14827,14896,3,2L
188,14896,14965,14896,14965,3,2L
189,14965,15034,14965,15034,3,2L
190,15034,15102,15034,15101,3,3
191,15102,15170,15101,15170,1,2L
192,15170,15238,15170,15238,3,1L
193,15238,15309,15238,15308,1,3
194,15309,15376,15308,15376,1,2L
195,15376,15446,15376,15446,1,2L
196,15446,15517,15446,15517,1,1L
197,15517,15592,15517,15591,1,1L
198,15592,15663,15591,15663,3,2L
199,15663,15738,15663,15737,1,2L
200,15738,15814,15737,15815,1,2L
201,15814,15890,15815,15891,1,2L
202,15890,15964,15891,15963,3,2L
203,15964,16041,15963,16041,1,2L
204,16041,16117,16041,16117,1,2L
205,16117,16191,16117,16191,1,2L
206,16191,16264,16191,16263,3,2L
207,16264,16336,16263,16335,1,3
208,16336,16409,16335,16409,1,2L
209,16409,16479,16409,16479,1,2L
210,16479,16550,16479,16549,1,2L
211,16550,16622,16549,16622,1,1L
212,16622,16696,16622,16696,1,1L
213,16696,16769,16696,16768,1,2L
214,16769,16844,16768,16843,1,2L
215,16844,16922,16843,16921,1,1L
216,16922,16999,16921,16999,1,1L
217,16999,17073,16999,17073,3,2L
218,17073,17151,17073,17149,1,3
219,17151,17228,17149,17227,1,1L
220,17228,17303,17227,17303,1,2L
221,17303,17376,17303,17375,1,2L
222,17376,17452,17375,17451,1,1L
223,17452,17528,17451,17527,1,2L
224,17528,17600,17527,17599,1,2L
225,17600,17673,17599,17674,1,2L
226,17673,17749,17674,17749,1,1L
227,17749,17823,17749,17823,1,2L
228,17823,17894,17823,17894,3,2L
229,17894,17966,17894,17965,1,2L
230,17966,18040,17965,18039,1,1L
231,18040,18114,18039,18113,1,2L
232,18114,18189,18113,18188,1,2L
233,18189,18267,18188,18266,1,2L
234,18267,18346,18266,18346,1,1L
235,18346,18423,18346,18423,3,2L
236,18423,18500,18423,18499,1,2L
237,18500,18576,18499,18576,1,1L
238,18576,18651,18576,18651,3,1L
239,18651,18723,18651,18722,1,2L
240,18723,18797,18722,18796,3,2L
241,18797,18872,18796,18871,1,1L
242,18872,18945,18871,18944,1,2L
