,ref_s,ref_e,in_s,in_e,in_t,ref_t
0,100,169,100,170,3,2L
1,169,239,170,238,2E,2L
2,239,308,238,309,3,2L
3,308,378,309,377,3,2L
4,448,518,445,498,1L,2L
5,1321,1382,1321,1380,3,2L
6,1382,1446,1380,1444,1L,1L
7,1652,1723,1652,1723,3,2L
8,1723,1795,1723,1793,3,2L
9,1795,1867,1793,1867,3,2L
10,1935,2005,1935,1990,1L,2L
11,2075,2145,2073,2147,1,2L
12,2145,2214,2147,2216,3,2L
13,2214,2286,2216,2285,2L,1L
14,2286,2354,2285,2355,2E,2L
15,2426,2502,2426,2502,1,1L
16,2502,2581,2502,2582,1,2E
17,2581,2658,2582,2659,1,2L
18,2658,2732,2659,2733,2E,2L
19,2732,2805,2733,2806,2E,2L
20,2805,2879,2806,2880,3,2L
21,2879,2948,2880,2949,3,2L
22,2948,3018,2949,3017,3,2L
23,3018,3086,3017,3088,1,2L
24,3086,3156,3088,3156,3,2L
25,3156,3223,3156,3223,3,2L
26,3223,3288,3223,3290,2E,2L
27,3288,3351,3290,3353,2E,2L
28,3351,3425,3353,3426,1,2L
29,3425,3502,3426,3501,1,2L
30,3502,3581,3501,3581,1,2E
31,3581,3661,3581,3663,1,1L
32,3821,3897,3823,3897,3,2L
33,3897,3971,3897,3972,2E,2L
34,3971,4043,3972,4043,2E,2L
35,4043,4111,4043,4112,2E,2L
36,4111,4179,4112,4180,3,2L
37,4179,4246,4180,4247,3,2L
38,4246,4313,4247,4315,3,2L
39,4313,4382,4315,4382,2E,2L
40,4382,4451,4382,4452,3,2L
41,4451,4521,4452,4522,2E,2L
42,4521,4591,4522,4592,3,2L
43,4591,4662,4592,4664,3,2L
44,4662,4734,4664,4735,3,2L
45,4734,4804,4735,4805,2E,2L
46,4804,4873,4805,4875,2E,2L
47,4873,4943,4875,4944,2E,2L
48,4943,5010,4944,5011,3,2L
49,5010,5078,5011,5079,3,2L
50,5078,5147,5079,5147,2E,2L
51,5147,5217,5147,5218,2E,2L
52,5217,5286,5218,5287,2E,2L
53,5286,5355,5287,5356,3,2L
54,5355,5425,5356,5426,3,2L
55,5425,5496,5426,5496,3,2L
56,5496,5565,5496,5566,2E,2L
57,5565,5635,5566,5636,2E,2L
58,5635,5707,5636,5708,3,2L
59,5707,5780,5708,5781,3,2L
60,5780,5850,5781,5851,2E,2L
61,5850,5921,5851,5921,3,2L
62,5921,5992,5921,5992,3,2L
63,5992,6065,5992,6066,2E,2L
64,6065,6134,6066,6135,3,2L
65,6134,6207,6135,6208,3,2L
66,6207,6279,6208,6280,3,2L
67,6279,6350,6280,6351,2E,2L
68,6350,6417,6351,6418,2E,2L
69,6417,6484,6418,6485,3,2L
70,6484,6550,6485,6551,2E,2L
71,6550,6617,6551,6617,3,2L
72,6617,6684,6617,6685,3,2L
73,6684,6751,6685,6752,3,2L
74,6751,6819,6752,6819,2E,2L
75,6819,6888,6819,6889,1,2L
76,6888,6960,6889,6961,1,2L
77,6960,7032,6961,7032,3,2L
78,7032,7104,7032,7105,2E,2L
79,7104,7178,7105,7179,3,2L
80,7178,7250,7179,7251,3,2L
81,7250,7320,7251,7321,2E,2L
82,7320,7390,7321,7391,2E,2L
83,7390,7461,7391,7462,1,2L
84,7461,7530,7462,7531,2E,2L
85,7530,7598,7531,7599,2E,2L
86,7598,7665,7599,7666,3,2L
