,ref_s,ref_e,in_s,in_e,in_t,ref_t
0,721,793,721,793,3,3
1,793,868,793,867,1,3
2,868,941,867,940,3,1L
3,941,1016,940,1015,3,3
4,1016,1088,1015,1088,3,2L
5,1088,1163,1088,1161,3,2L
6,1163,1242,1161,1242,1,1L
7,1242,1323,1242,1322,3,1L
8,1323,1400,1322,1398,1,1L
9,1400,1476,1398,1476,3,2L
10,1476,1556,1476,1556,1,3
11,1556,1638,1556,1637,1,3
12,1638,1716,1637,1716,1,3
13,1716,1793,1716,1793,3,3
14,1793,1872,1793,1871,1,3
15,1872,1950,1871,1949,2E,1L
16,1950,2026,1949,2024,2E,2L
17,2026,2104,2024,2104,2E,2L
18,2104,2182,2104,2180,3,1L
19,2182,2257,2180,2256,3,1L
20,2257,2330,2256,2330,3,2L
21,2330,2407,2330,2406,3,1L
22,2407,2486,2406,2486,3,1L
23,2486,2563,2486,2563,3,1L
24,2563,2640,2563,2640,3,1L
25,2640,2718,2640,2718,1,1L
26,2718,2793,2718,2793,2E,1L
27,2793,2865,2793,2866,3,2L
28,2865,2940,2866,2939,1,1L
29,2940,3015,2939,3015,1,1L
30,3015,3095,3015,3094,1,1L
31,3095,3172,3094,3172,1,1L
32,3172,3246,3172,3246,3,2L
33,3246,3323,3246,3323,1,3
34,3323,3403,3323,3403,3,1L
35,3403,3480,3403,3480,3,1L
36,3480,3559,3480,3559,2E,3
37,3559,3637,3559,3636,3,3
38,3637,3715,3636,3715,1,3
39,3715,3790,3715,3789,1,2L
40,3790,3867,3789,3867,2E,2L
41,3867,3947,3867,3947,1,1L
42,3947,4028,3947,4028,1,1L
43,4028,4106,4028,4106,3,1L
44,4106,4184,4106,4184,1,3
45,4184,4264,4184,4264,1,1L
46,4264,4342,4264,4342,3,1L
47,4342,4419,4342,4418,3,2L
48,4419,4499,4418,4498,1,1L
49,4499,4580,4498,4580,2E,1L
50,4580,4659,4580,4659,3,1L
51,4659,4736,4659,4736,3,2L
52,4736,4812,4736,4811,3,2L
53,4812,4889,4811,4889,1,1L
54,4889,4969,4889,4969,1,1L
55,4969,5056,4969,5057,1,1L
56,5056,5146,5057,5146,1,1L
57,5146,5236,5146,5236,1,1L
58,5236,5324,5236,5324,3,2L
59,5324,5410,5324,5410,1,1L
60,5410,5492,5410,5493,1,2L
61,5492,5568,5493,5569,2E,2L
62,5568,5644,5569,5645,3,2L
63,5644,5723,5645,5723,3,1L
64,5723,5800,5723,5800,1,1L
65,5800,5874,5800,5874,3,2L
66,5874,5950,5874,5950,2E,1L
67,5950,6031,5950,6032,2E,1L
68,6031,6116,6032,6116,1,1L
69,6116,6200,6116,6200,3,1L
70,6200,6285,6200,6285,1,1L
71,6285,6365,6285,6365,3,1L
72,6365,6442,6365,6441,3,2L
73,6442,6522,6441,6522,2E,2L
74,6522,6602,6522,6602,2E,1L
75,6602,6678,6602,6678,3,1L
76,6678,6756,6678,6756,3,2L
77,6756,6832,6756,6832,3,1L
78,6832,6910,6832,6909,3,1L
79,6910,6985,6909,6985,3,1L
80,6985,7064,6985,7063,1,1L
81,7064,7145,7063,7145,1,1L
82,7145,7225,7145,7225,1,1L
83,7225,7302,7225,7301,3,2L
84,7302,7380,7301,7380,1,1L
85,7380,7458,7380,7458,1,1L
86,7458,7533,7458,7533,2E,2L
87,7533,7607,7533,7607,3,2L
88,7607,7683,7607,7683,1,1L
89,7683,7759,7683,7759,1,1L
90,7759,7833,7759,7832,3,1L
91,7833,7908,7832,7908,1,1L
92,7908,7988,7908,7988,1,1L
93,7988,8069,7988,8070,3,1L
94,8069,8146,8070,8146,3,2L
95,8146,8228,8146,8228,1,2L
96,8228,8312,8228,8312,1,1L
97,8312,8392,8312,8392,3,1L
98,8392,8468,8392,8468,3,2L
99,8468,8547,8468,8547,3,2L
100,8547,8625,8547,8625,3,1L
101,8625,8701,8625,8701,1L,1L
102,8701,8777,8701,8777,3,2L
103,8777,8857,8777,8856,1,1L
104,8857,8936,8856,8936,3,1L
105,8936,9013,8936,9013,3,2L
106,9013,9094,9013,9094,2E,1L
107,9094,9175,9094,9175,2E,1L
108,9175,9252,9175,9252,3,2L
109,9252,9332,9252,9332,3,2L
110,9332,9415,9332,9415,1,1L
111,9415,9496,9415,9496,2E,1L
112,9496,9575,9496,9575,2E,2L
113,9575,9657,9575,9657,3,1L
114,9657,9739,9657,9738,1,1L
115,9739,9815,9738,9815,3,2L
116,9815,9897,9815,9897,1,2L
117,9897,9981,9897,9981,1,1L
118,9981,10062,9981,10062,1,1L
119,10062,10138,10062,10138,3,2L
120,10138,10216,10138,10217,1,1L
121,10216,10300,10217,10301,1,1L
122,10300,10383,10301,10384,3,1L
123,10383,10462,10384,10462,3,2L
124,10462,10544,10462,10545,1,1L
125,10544,10626,10545,10626,1,1L
126,10626,10704,10626,10704,3,1L
127,10704,10780,10704,10779,1,3
128,10780,10856,10779,10856,3,1L
129,10856,10935,10856,10935,2E,1L
130,10935,11009,10935,11008,3,2L
131,11009,11084,11008,11084,3,1L
132,11084,11158,11084,11157,1,2L
133,11158,11230,11157,11230,3,1L
134,11230,11300,11230,11301,3,1L
135,11300,11368,11301,11368,1,1L
136,11368,11440,11368,11442,3,3
137,11440,11509,11442,11510,3,3
138,11579,11653,11578,11654,3,3
139,11653,11728,11654,11728,3,1L
140,11728,11799,11728,11800,3,2L
141,11799,11872,11800,11873,3,3
142,11872,11949,11873,11949,3,1L
143,11949,12029,11949,12028,2E,1L
144,12029,12104,12028,12104,3,1L
145,12104,12180,12104,12181,2E,2L
146,12180,12260,12181,12221,3,1L
147,12333,12407,12333,12407,1,2L
148,12407,12487,12407,12447,3,1L
149,12568,12646,12568,12645,1,2L
150,12646,12727,12645,12727,3,2L
151,12727,12806,12727,12807,1,1L
152,12806,12881,12807,12881,1,2L
153,12881,12955,12881,12957,3,2L
154,12955,13033,12957,13035,3,1L
155,13033,13113,13035,13115,3,1L
156,13113,13193,13115,13194,3,1L
157,13193,13272,13194,13273,1,2L
158,13272,13352,13273,13355,1,1L
159,13352,13433,13355,13436,1,1L
160,13433,13507,13436,13508,3,2L
161,13507,13583,13508,13585,1,2L
162,13583,13661,13585,13665,1,1L
163,13661,13736,13665,13738,3,1L
164,13736,13808,13738,13808,3,2L
165,13808,13882,13808,13885,1,1L
166,13882,13959,13885,13963,3,1L
167,13959,14036,13963,14038,3,1L
168,14036,14109,14038,14110,3,2L
169,14109,14187,14110,14189,1,1L
170,14187,14267,14189,14269,3,1L
171,14267,14343,14269,14344,1,1L
172,14343,14418,14344,14421,3,2L
173,14418,14494,14421,14497,3,1L
174,14494,14570,14497,14572,1,1L
175,14570,14642,14572,14644,3,2L
176,14642,14715,14644,14717,1,2L
177,14715,14791,14717,14793,3,2L
178,14791,14867,14793,14870,3,1L
179,14867,14938,14870,14942,3,2L
180,14938,15010,14942,15013,3,1L
181,15010,15086,15013,15087,3,1L
182,15086,15162,15087,15165,1,1L
183,15162,15233,15165,15234,1,2L
184,15233,15302,15234,15306,3,3
185,15302,15378,15306,15379,1,3
186,15378,15461,15379,15460,1,2L
187,15461,15542,15460,15542,3,2L
188,15542,15622,15542,15623,1,2L
189,15622,15698,15623,15698,3,2L
190,15698,15771,15698,15772,3,2L
191,15771,15844,15772,15844,3,2L
192,15844,15913,15844,15913,3,2L
193,15913,15982,15913,15983,3,2L
194,15982,16056,15983,16057,3,1L
195,16056,16131,16057,16131,3,1L
196,16131,16204,16131,16205,1,2L
197,16204,16280,16205,16281,3,3
198,16280,16355,16281,16356,3,1L
199,16355,16428,16356,16428,3,1L
200,16428,16502,16428,16502,3,2L
201,16502,16575,16502,16576,3,1L
202,16575,16648,16576,16648,3,1L
203,16648,16718,16648,16718,3,2L
204,16718,16789,16718,16789,3,2L
205,16789,16861,16789,16862,2E,2L
206,16861,16933,16862,16934,2E,1L
207,16933,17005,16934,17005,1,2L
208,17005,17081,17005,17081,3,1L
209,17081,17156,17081,17157,3,1L
210,17156,17229,17157,17229,1,2L
211,17229,17300,17229,17300,2E,2L
212,17300,17375,17300,17375,3,2L
213,17375,17450,17375,17450,3,1L
214,17450,17522,17450,17522,3,1L
215,17522,17594,17522,17595,2E,2L
216,17594,17668,17595,17669,1,1L
217,17668,17748,17669,17748,3,1L
218,17748,17822,17748,17822,1L,1L
219,17822,17900,17822,17901,1,2L
220,17900,17981,17901,17982,3,1L
221,17981,18060,17982,18060,1,1L
222,18060,18136,18060,18136,1,2L
223,18136,18214,18136,18215,1,1L
224,18214,18294,18215,18294,3,1L
225,18294,18375,18294,18376,1,1L
226,18375,18455,18376,18455,3,1L
227,18455,18535,18455,18536,1,1L
228,18535,18616,18536,18617,3,1L
229,18616,18693,18617,18693,3,1L
230,18693,18768,18693,18769,3,2L
231,18768,18844,18769,18845,3,1L
232,18844,18920,18845,18921,3,1L
233,18920,18997,18921,18997,1,1L
234,18997,19073,18997,19074,3,2L
235,19073,19153,19074,19154,3,1L
236,19153,19235,19154,19236,1,1L
237,19235,19311,19236,19312,3,1L
238,19311,19391,19312,19352,3,3
239,19472,19547,19472,19548,3,1L
240,19547,19625,19548,19625,3,3
241,19625,19705,19625,19706,3,3
242,19705,19783,19706,19784,2E,1L
243,19783,19859,19784,19859,3,2L
244,19859,19940,19859,19941,1,1L
245,19940,20021,19941,20022,1,1L
246,20021,20099,20022,20100,3,2L
247,20099,20180,20100,20180,2E,3
248,20180,20263,20180,20263,1,1L
249,20263,20344,20263,20345,1,1L
250,20344,20423,20345,20424,1,2L
251,20423,20504,20424,20504,1,1L
252,20504,20585,20504,20586,1,1L
253,20585,20662,20586,20662,2E,1L
254,20662,20740,20662,20741,3,2L
255,20740,20823,20741,20823,1,1L
256,20823,20904,20823,20904,2E,1L
257,20904,20984,20904,20984,3,2L
258,20984,21067,20984,21067,1,1L
259,21067,21151,21067,21152,1,3
260,21151,21235,21152,21234,1,1L
261,21235,21317,21234,21317,1,2L
262,21317,21402,21317,21402,1,1L
263,21402,21487,21402,21486,1,3
264,21487,21568,21486,21566,1,2L
265,21568,21649,21566,21649,1,1L
266,21649,21730,21649,21729,1,1L
267,21730,21806,21729,21805,1,3
268,21806,21879,21805,21879,3,3
269,21879,21961,21879,21961,3,3
270,21961,22047,21961,22001,3,2E
271,22047,22131,22047,22131,1,3
272,22131,22213,22131,22213,1,2L
273,22213,22297,22213,22253,3,3
274,22297,22379,22297,22380,1,1L
275,22379,22457,22380,22457,3,2L
276,22457,22534,22457,22535,3,1L
277,22534,22609,22535,22609,3,1L
278,22609,22683,22609,22684,3,2L
279,22683,22760,22684,22760,3,1L
280,22760,22842,22760,22843,2E,2E
281,22842,22920,22843,22921,3,1L
282,22920,23002,22921,23003,3,3
283,23002,23088,23003,23048,3,3
284,23251,23332,23252,23333,1,2L
285,23332,23414,23333,23414,3,1L
286,23414,23489,23414,23489,3,2L
287,23489,23565,23489,23565,3,1L
288,23565,23647,23565,23607,3,1L
289,23722,23797,23723,23798,2E,3
290,23797,23874,23798,23875,3,1L
291,23874,23952,23875,23952,3,3
