,ref_s,ref_e,in_s,in_e,in_t,ref_t
223,20811,20886,20809,20884,3,2L
224,20886,20961,20884,20961,3,1L
225,20961,21034,20961,21032,3,2L
226,21034,21104,21032,21102,3,2L
227,21104,21174,21102,21174,3,2L
228,21174,21246,21174,21243,2E,2L
229,21246,21317,21243,21317,3,2L
230,21317,21386,21317,21386,3,2L
231,21386,21457,21386,21455,3,2L
232,21592,21662,21590,21654,2E,2L
233,21662,21731,21654,21729,3,2L
234,21731,21802,21729,21800,3,2L
235,21802,21871,21800,21872,3,2L
236,21871,21942,21872,21941,3,2L
237,21942,22014,21941,22012,3,1L
238,22014,22086,22012,22084,1,1L
239,22293,22363,22290,22362,3,2L
240,22363,22431,22362,22429,3,2L
241,22431,22501,22429,22499,2E,2L
242,22501,22570,22499,22567,3,2L
243,22570,22641,22567,22640,2E,1L
244,22641,22708,22640,22708,3,2L
245,22708,22777,22708,22775,3,2L
246,22777,22850,22775,22849,3,1L
247,22999,23076,22997,23075,3,2L
248,23076,23153,23075,23152,1,2L
249,23153,23227,23152,23227,3,2L
250,23227,23300,23227,23297,3,2L
251,23665,23738,23665,23736,1L,1L
252,23738,23810,23736,23810,3,2L
253,23810,23883,23810,23882,1,2L
