,ref_s,ref_e,in_s,in_e,in_t,ref_t
0,621,687,616,686,3,3
1,755,821,751,819,3,1L
2,821,886,819,884,3,1L
3,886,951,884,948,3,1L
4,951,1015,948,1011,1,1L
5,1015,1080,1011,1065,3,1L
6,1145,1211,1127,1208,3,3
7,1762,1868,1799,1866,3,1
8,2255,2325,2274,2324,3,3
9,2581,2683,2612,2682,3,1
10,2829,2903,2830,2902,3,3
11,2903,2970,2902,2970,3,3
12,2970,3041,2970,3042,3,2L
13,3041,3110,3042,3112,3,1L
14,3110,3181,3112,3182,3,3
15,3181,3251,3182,3252,1,2L
16,3251,3324,3252,3324,1,3
17,3324,3398,3324,3399,1,1L
18,3398,3471,3399,3472,1,1L
19,3471,3543,3472,3543,1,2L
20,3543,3617,3543,3617,3,3
21,3617,3691,3617,3691,3,1L
22,3691,3763,3691,3763,3,3
23,3763,3833,3763,3833,3,3
24,3833,3907,3833,3907,1,1L
25,3907,3979,3907,3979,3,1L
26,3979,4049,3979,4049,3,2L
27,4049,4123,4049,4123,3,2L
28,4123,4197,4123,4197,3,1L
29,4197,4269,4197,4269,3,1L
30,4269,4340,4269,4339,3,2L
31,4340,4411,4339,4412,3,2L
32,4411,4480,4412,4480,3,1L
33,4480,4546,4480,4546,3,2L
34,4546,4613,4546,4614,2E,2L
35,4613,4682,4614,4682,3,1L
36,4682,4751,4682,4752,3,1L
37,4751,4819,4752,4820,3,3
38,4819,4887,4820,4888,3,2L
39,4887,4958,4888,4959,1,1L
40,4958,5031,4959,5032,1,1L
41,5031,5100,5032,5101,3,3
42,5100,5171,5101,5171,3,2L
43,5171,5243,5171,5243,3,1L
44,5243,5316,5243,5317,3,3
45,5316,5386,5317,5385,3,2L
46,5386,5458,5385,5459,3,2L
47,5458,5530,5459,5529,3,1L
48,5530,5597,5529,5597,3,1L
49,5597,5663,5597,5663,3,2L
50,5663,5726,5663,5727,3,2L
51,5726,5789,5727,5789,3,2L
52,5789,5854,5789,5853,3,2L
53,5854,5923,5853,5923,3,1L
54,5923,5991,5923,5991,3,1L
55,5991,6060,5991,6059,1,2L
56,6060,6131,6059,6130,1,2L
57,6131,6201,6130,6200,1,1L
58,6201,6269,6200,6269,3,2L
59,6269,6336,6269,6335,2E,2L
60,6336,6404,6335,6404,1,2L
61,6404,6474,6404,6474,1,1L
62,6474,6543,6474,6543,3,1L
63,6543,6613,6543,6613,1,2L
64,6613,6686,6613,6686,1,1L
65,6686,6764,6686,6765,1,3
66,6764,6841,6765,6842,1,3
67,6841,6918,6842,6919,1,3
68,6918,6994,6919,6995,1,1L
69,6994,7069,6995,7069,3,1L
70,7069,7140,7069,7139,3,2L
71,7140,7214,7139,7215,3,3
72,7214,7289,7215,7289,1,2L
