,ref_s,ref_e,in_s,in_e,in_t,ref_t
73,7289,7360,7289,7360,1,2L
74,7360,7429,7360,7429,3,2L
75,7429,7501,7429,7502,1,1L
76,7501,7574,7502,7574,1,1L
77,7574,7646,7574,7646,3,1L
78,7646,7716,7646,7716,3,2L
79,7716,7789,7716,7790,1,2L
80,7789,7864,7790,7864,1,1L
81,7864,7935,7864,7935,1,1L
82,7935,8005,7935,8006,1,2L
83,8005,8078,8006,8078,1,2L
84,8078,8153,8078,8153,1,1L
85,8153,8227,8153,8227,1,1L
86,8227,8303,8227,8303,3,2L
87,8303,8381,8303,8382,1,2L
88,8381,8460,8382,8459,3,1L
89,8460,8534,8459,8533,3,2L
90,8534,8609,8533,8609,3,2L
91,8609,8683,8609,8683,3,3
92,8683,8756,8683,8755,1,1L
93,8756,8829,8755,8828,2E,3
94,8829,8902,8828,8902,1,2L
95,8902,8971,8902,8972,3,2L
96,8971,9038,8972,9038,3,1L
97,9038,9101,9038,9101,3,2L
98,9101,9169,9101,9168,3,3
99,9169,9241,9168,9240,3,3
100,9241,9315,9240,9314,3,2L
101,9315,9386,9314,9386,1,2L
102,9386,9458,9386,9458,1,3
103,9458,9531,9458,9530,1,3
104,9531,9599,9530,9599,3,2L
105,9599,9669,9599,9669,2E,3
106,9669,9739,9669,9739,1,1L
107,9739,9810,9739,9810,1,3
108,9810,9879,9810,9879,3,2L
109,9879,9948,9879,9947,3,2L
110,10017,10088,10017,10087,3,1L
111,10157,10227,10155,10225,3,3
112,10227,10298,10225,10297,3,1L
113,10298,10373,10297,10371,3,3
114,10373,10444,10371,10443,3,2L
115,10444,10517,10443,10516,2E,2L
116,10517,10591,10516,10590,1,1L
117,10591,10664,10590,10664,3,2L
118,10664,10737,10664,10736,3,2L
119,10737,10811,10736,10810,3,3
120,10811,10885,10810,10884,3,2L
121,10885,10956,10884,10956,3,2L
122,10956,11027,10956,11028,3,3
123,11027,11100,11028,11100,3,2L
124,11100,11174,11100,11174,1,1L
125,11174,11247,11174,11246,1,2L
126,11247,11320,11246,11320,1,2L
127,11320,11395,11320,11394,1,2L
128,11395,11467,11394,11467,1,2L
129,11467,11540,11467,11539,3,2L
130,11540,11613,11539,11613,3,3
131,11613,11685,11613,11685,1,2L
132,11685,11753,11685,11754,3,2L
133,11753,11823,11754,11822,2E,3
134,11823,11893,11822,11892,3,1L
135,11893,11965,11892,11964,1,1L
136,11965,12035,11964,12035,1,2L
137,12035,12106,12035,12106,1,2L
138,12106,12180,12106,12180,2E,2L
139,12180,12257,12180,12256,1,1L
140,12257,12329,12256,12330,1,3
141,12329,12402,12330,12402,1,2L
142,12402,12476,12402,12476,1,2L
143,12476,12545,12476,12546,3,2L
144,12545,12617,12546,12617,1,2L
145,12617,12691,12617,12690,1,1L
146,12691,12764,12690,12764,1,1L
147,12764,12834,12764,12834,3,2L
148,12834,12905,12834,12905,3,3
149,12905,12976,12905,12977,1,2L
150,12976,13047,12977,13047,1,3
151,13047,13115,13047,13115,1,2L
152,13115,13184,13115,13184,2E,2L
153,13184,13255,13184,13255,1,3
154,13255,13325,13255,13326,1,1L
155,13325,13395,13326,13395,1,2L
156,13395,13466,13395,13465,1,2L
157,13466,13537,13465,13537,1,1L
158,13537,13611,13537,13611,1,1L
159,13611,13682,13611,13682,1,2L
160,13682,13755,13682,13754,1,2L
161,13755,13829,13754,13829,1,2L
162,13829,13903,13829,13903,1,1L
163,13903,13975,13903,13974,1,3
164,13975,14046,13974,14045,3,2L
165,14046,14117,14045,14117,1,1L
166,14117,14186,14117,14186,2E,2L
167,14186,14256,14186,14255,3,3
168,14256,14326,14255,14325,1,2L
169,14326,14397,14325,14397,2E,2L
170,14397,14467,14397,14467,1,2L
171,14467,14537,14467,14536,3,2L
172,14537,14608,14536,14607,1,1L
173,14608,14679,14607,14679,1,1L
174,14679,14749,14679,14749,2E,2L
175,14749,14819,14749,14819,3,2L
176,14819,14893,14819,14893,1,2L
177,14893,14966,14893,14966,1,2L
178,14966,15039,14966,15037,1,3
179,15039,15112,15037,15112,1,2L
180,15112,15185,15112,15185,1,2L
181,15185,15258,15185,15257,3,2L
182,15258,15329,15257,15329,3,2L
183,15329,15399,15329,15399,3,2L
184,15399,15470,15399,15469,3,3
185,15470,15538,15469,15537,3,2L
186,15538,15606,15537,15605,3,2L
187,15606,15675,15605,15674,2E,2L
188,15675,15745,15674,15745,1,2L
189,15745,15815,15745,15814,1,1L
190,15815,15884,15814,15884,1,3
191,15884,15956,15884,15956,2E,2L
192,15956,16030,15956,16030,1,2L
193,16030,16103,16030,16103,1,2L
194,16103,16175,16103,16173,3,3
195,16175,16246,16173,16247,3,2L
196,16246,16319,16247,16319,3,1L
197,16319,16387,16319,16386,2E,3
198,16387,16456,16386,16456,3,3
199,16456,16526,16456,16526,1,1L
200,16526,16600,16526,16600,1,1L
201,16600,16672,16600,16671,1,2L
202,16672,16744,16671,16743,2E,2L
203,16744,16820,16743,16819,1,3
204,16820,16901,16819,16900,1,2L
205,16901,16978,16900,16977,1,2L
206,16978,17054,16977,17053,1,3
207,17054,17132,17053,17131,1,2L
208,17132,17208,17131,17207,1,2L
209,17208,17281,17207,17280,3,2L
210,17281,17355,17280,17354,1,3
211,17355,17431,17354,17430,1,3
212,17431,17507,17430,17506,1,2L
213,17507,17581,17506,17581,1,3
214,17581,17655,17581,17655,1,2L
215,17655,17732,17655,17731,1,1L
216,17732,17807,17731,17806,1,3
217,17807,17881,17806,17879,3,3
218,17881,17956,17879,17956,1,2L
219,17956,18033,17956,18032,1,3
220,18033,18105,18032,18105,1,3
221,18105,18180,18105,18179,3,3
222,18180,18253,18179,18252,1,2L
223,18253,18325,18252,18325,1,2L
224,18325,18396,18325,18395,2E,3
225,18396,18467,18395,18467,1,3
226,18467,18541,18467,18540,1,1L
227,18541,18615,18540,18614,1,2L
228,18615,18689,18614,18688,3,3
229,18689,18764,18688,18763,1,2L
230,18764,18843,18763,18843,1,2L
231,18843,18919,18843,18919,3,2L
232,18919,18995,18919,18993,3,3
233,18995,19071,18993,19071,3,2L
234,19071,19147,19071,19146,1,3
235,19147,19216,19146,19216,1,2L
236,19216,19287,19216,19287,2E,2L
237,19287,19358,19287,19358,3,1L
238,19358,19429,19358,19428,3,2L
239,19429,19498,19428,19497,1,3
240,19498,19570,19497,19570,2E,2L
241,19570,19649,19570,19648,1,2L
242,19649,19725,19648,19725,1,3
243,19725,19805,19725,19804,1,3
244,19805,19885,19804,19884,1,1L
245,19885,19965,19884,19963,3,3
246,19965,20041,19963,20041,3,2L
247,20041,20118,20041,20117,3,2L
248,20118,20192,20117,20192,1,3
249,20192,20263,20192,20262,3,3
250,20263,20335,20262,20335,2E,3
251,20335,20409,20335,20409,1,2L
252,20409,20485,20409,20484,1,2L
253,20485,20558,20484,20557,1,3
254,20558,20632,20557,20631,1,3
255,20632,20707,20631,20706,1,2L
256,20707,20783,20706,20784,1,1L
257,20783,20857,20784,20856,1,3
258,20857,20930,20856,20929,1,3
259,20930,21007,20929,21006,1,2L
260,21007,21089,21006,21088,1,2L
261,21089,21167,21088,21165,2E,3
262,21167,21245,21165,21243,3,3
263,21245,21324,21243,21324,1,2L
264,21324,21401,21324,21399,1,2L
265,21401,21476,21399,21475,3,2L
266,21476,21548,21475,21548,1,2L
267,21548,21617,21548,21618,3,3
268,21617,21684,21618,21684,3,3
269,21684,21748,21684,21748,3,3
270,21813,21879,21812,21879,2E,2L
271,21879,21950,21879,21949,1,2L
272,21950,22020,21949,22019,1,3
273,22020,22092,22019,22093,3,1L
274,22092,22164,22093,22163,3,3
275,22301,22368,22301,22367,3,3
276,22368,22433,22367,22431,3,1L
277,22433,22499,22431,22497,3,2L
278,22499,22567,22497,22565,3,3
279,23394,23457,23392,23456,3,3
280,23457,23522,23456,23522,3,3
